"names","visualisingdata.com","graphicsociology","blog.oecdfactblog.org","datablog","datavisualization.ch","dataspora.com/blog","flowingdata.com","infosthetics.com","visualcomplexity.com/vc","visualjournalism.com","chartporn.org","visualizing.org","createdigitalmotion.com","news.designlanguage.com","xkcd.com","blog.wolframalpha.com","brainpickings.org","bang.clearscience.info","radar.oreilly.com","creativeapplications.net","informationisbeautiful.net","fellinlovewithdata.com","blogs.wsj.com/numbersguy","getprismatic.com","petewarden.typepad.com","indiemaps.com/blog","benfry.com/writing","serialconsign.com","perceptualedge","excelcharts.com/blog/posts","datajournalismblog.com","eagereyes.org","thefunctionalart.com","good.is/infographics","ilovecharts.tumblr.com","dailyinfographic.com","infographicsarchive.com","visualoop.tumblr.com","visualizingeconomics.com","spatialanalysis.co.uk","storiesthroughdata","sethssources.wordpress.com","datawrangling.com","infoisbeautifulawards","xblog","interactive-infographics.com","thewhyaxis.info","ideasillustrated.com/blog","Ben Fry","Daniel A.","David McCandless","Jer Thorp","Lisa Strausfeld","Manuel Lima","Marcos Weskamp","Moritz Stefaner","Stefanie Posavec","Santiago Ortiz","Jen Lowe","Jason Davies","Mike Bostock","Wilhelm Tulp","Martin Wattenberg","Edward Tufte","Jonathan Harris","Eric Fischer","Fernanda Viegas","Jerome Cukier","Jeff Clark","Nicolas Garcia","Gregor Aisch","Ben Shneiderman","Francesco Franchi","Christopher Warnow","Irene Ros","Lev Manovich","Nicholas Felton","Szucs Krisztina","Stephen Wolfram","Scott Murray","Matthew Ericson","Mahir M.","Jim Vallandingham","Martin Oberhaeuser","Benedikt Groß","Applied Works","BERG","Bestiario","Catalogtree","Bloom","Density Design","Envis Precisely","Field","Flink Labs","InfoMotor","Interactive Things","Ito World","JESS3","Juice Analytics","Oblong Industries","Periscopic","Pitch Interactive","Potion Design","Rhiza Labs","Seed Media","Taco Labs","Vizzuality","OOM","FFunction","Plaid","Visup","Data Republic","Data Market","NYT labs","tracemedia","R","Gephi","Quadrigram","Many Eyes","Tableau Software","Plot.io","infogr.am","Google chart","Gapminder","d3","Infovis","wordle","wolfram|alpha","create.visual.ly","Polychart","Miso","envision","geocommons","timeline.verite","DataKind","Visual Complexity","Visualize this","visual display","Visualizing Data","The visual"
"url",http://www.visualisingdata.com/,http://thesocietypages.org/graphicsociology/,http://blog.oecdfactblog.org/,http://www.guardian.co.uk/news/datablog,http://datavisualization.ch/,http://www.dataspora.com/blog/,http://flowingdata.com/,http://www.infosthetics.com/,http://www.visualcomplexity.com/vc/,http://visualjournalism.com/,http://chartporn.org/,http://www.visualizing.org/,http://createdigitalmotion.com/,http://news.designlanguage.com/,http://xkcd.com/,http://blog.wolframalpha.com/,http://www.brainpickings.org/,http://bang.clearscience.info/,http://radar.oreilly.com/,http://www.creativeapplications.net/,http://www.informationisbeautiful.net/,http://fellinlovewithdata.com/,http://blogs.wsj.com/numbersguy/,http://getprismatic.com/,http://petewarden.typepad.com/,http://indiemaps.com/blog/,http://benfry.com/writing/,http://serialconsign.com/,http://www.perceptualedge.com/,http://www.excelcharts.com/blog/posts/,http://www.datajournalismblog.com/,http://eagereyes.org/,http://www.thefunctionalart.com/,http://www.good.is/infographics,http://ilovecharts.tumblr.com/,http://dailyinfographic.com/,http://www.infographicsarchive.com/,http://visualoop.tumblr.com/,http://visualizingeconomics.com/,http://spatialanalysis.co.uk/,http://storiesthroughdata.blogs.lincoln.ac.uk/,http://sethssources.wordpress.com/,http://datawrangling.com/,http://www.informationisbeautifulawards.com/,http://www.xplane.com/xblog/data-visualization/,http://www.interactive-infographics.com/,http://thewhyaxis.info/,http://ideasillustrated.com/blog/,http://fathom.info,http://www.daniel-a-becker.de,http://www.davidmccandless.com,http://blprnt.com,http://www.pentagram.com/,http://www.mslima.com/,http://marumushi.com,http://moritz.stefaner.eu,http://itsbeenreal.co.uk,http://moebio.com,http://www.datatelling.com/,http://www.jasondavies.com/,http://bost.ocks.org/mike/,http://tulpinteractive.com/,http://www.bewitched.com/,http://www.edwardtufte.com/tufte/,http://number27.org/,http://www.flickr.com/photos/walkingsf,http://fernandaviegas.com/,http://www.jeromecukier.net/,http://neoformix.com/,http://philogb.github.com/,http://vis4.net/blog/,http://www.cs.umd.edu/~ben/,http://www.francescofranchi.com/,http://christopherwarnow.com/portfolio/,http://ireneros.com/,http://lab.softwarestudies.com/,http://feltron.com/,http://webecset.hu/,http://blog.stephenwolfram.com/,http://alignedleft.com/,http://www.ericson.net/content/,http://casualdata.com/,http://vallandingham.me/,http://www.behance.net/Oberhaeuser,http://www.looksgood.de/log/,http://www.appliedworks.co.uk,http://berglondon.com,http://www.bestiario.org,http://catalogtree.net,http://bloom.io,http://www.densitydesign.org,http://envis-precisely.com,http://www.field.io,http://www.flinklabs.com,http://www.infomotor.com,http://interactivethings.com,http://itoworld.com,http://jess3.com,http://www.juiceanalytics.com,http://oblong.com/,http://periscopic.com,http://www.pitchinteractive.com/,http://potiondesign.com/,http://www.rhizalabs.com,http://seedmediagroup.com,http://blog.tacolab.com,http://www.vizzuality.com,http://www.oomcreative.com/,http://ffctn.com/,http://www.plaid-creative.com/,http://www.visup.it/,http://www.thedatarepublic.com/,http://datamarket.com/,http://nytlabs.com/,http://tracemedia.co.uk/,http://www.r-project.org/,http://gephi.org/,http://quadrigram.com/,http://www-958.ibm.com/software/data/cognos/manyeyes/,http://www.tableausoftware.com/,http://www.plot.io/,http://www.infogr.am/,http://code.google.com/apis/chart/,http://www.gapminder.org/,http://mbostock.github.com/d3/,http://thejit.org/,http://www.wordle.net/,http://www.wolframalpha.com/,http://create.visual.ly/,http://polychart.com/,http://misoproject.com/,http://www.humblesoftware.com/envision,http://geocommons.com/,http://timeline.verite.co/,http://datakind.org/,http://www.visualcomplexity.com/vc/book/,http://book.flowingdata.com/,http://www.edwardtufte.com/tufte/books_vdqi,http://www.amazon.com/gp/product/0596514557?ie=UTF8&tag=informationae-20&linkCode=xm2&camp=1789&creativeASIN=0596514557,http://www.informationisbeautiful.net/2009/the-visual-miscellaneum/
"categories",blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,blogs,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,people,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,companies/studios,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,resources/tools/applications/frameworks,books,books,books,books,books
"design",24,1,0,3,30,0,22,38,26,28,26,28,32,54,0,0,28,5,2,32,31,14,0,0,1,14,38,59,28,0,0,26,0,11,10,14,30,33,11,14,0,0,0,16,47,3,0,0,37,20,36,18,49,7,49,35,18,1,0,0,2,2,34,31,39,13,28,1,28,0,10,24,36,6,0,26,48,2,0,7,16,7,0,30,40,47,53,26,51,44,49,0,54,6,0,40,11,34,19,34,36,8,18,13,25,19,25,5,40,39,1,0,0,18,0,0,0,0,11,1,0,8,1,0,0,5,23,0,5,1,1,0,0,11,0,1,21,29,0,6
"data",31,3,3,50,42,7,37,23,13,8,24,29,0,19,0,2,0,1,0,1,16,36,19,0,20,1,29,2,21,4,13,31,1,6,4,12,13,14,26,8,0,0,6,11,0,4,13,2,24,2,28,2,0,0,3,26,5,1,3,1,3,4,39,17,1,8,19,9,35,1,17,13,0,2,0,3,7,0,0,1,16,3,0,1,1,0,0,12,10,20,7,0,1,13,1,17,33,7,36,0,34,3,1,21,2,0,4,1,21,0,6,6,56,12,2,2,20,7,33,19,12,18,4,35,32,19,1,0,10,11,47,0,35,1,7,11,15,16,12,0
"infographics",32,9,2,30,41,1,37,21,6,47,47,36,0,42,0,0,0,0,0,0,43,24,0,0,0,12,22,6,3,1,4,17,1,20,21,42,57,46,11,3,1,3,0,20,11,21,18,0,37,2,36,0,0,0,2,30,10,1,2,1,0,4,17,13,1,4,15,0,11,0,14,1,45,8,0,1,47,0,0,0,30,3,2,30,1,5,0,6,34,20,35,0,0,10,4,3,1,12,5,0,25,7,1,0,2,0,9,2,37,3,5,0,3,0,2,0,1,1,34,2,6,50,1,6,21,1,1,0,50,1,2,0,6,0,0,2,22,11,0,10
"blog",24,6,3,21,20,10,17,19,1,31,11,0,34,35,3,39,21,0,42,25,9,39,35,0,27,44,52,54,6,4,9,38,0,0,17,9,4,20,14,26,1,1,5,1,45,5,17,4,0,2,22,9,1,0,4,3,0,1,0,6,10,0,1,0,19,0,0,7,28,0,25,1,0,0,1,14,0,0,13,1,22,0,0,0,15,1,0,5,1,2,14,0,0,0,0,7,0,0,2,0,0,0,0,0,7,22,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inspiration",12,0,0,0,17,0,0,11,7,1,0,3,8,14,0,4,33,0,3,31,15,0,0,0,0,0,0,4,0,0,0,2,0,7,6,11,10,20,0,1,1,0,0,6,7,0,3,0,14,0,6,7,16,4,28,16,3,2,0,0,1,2,6,4,31,4,10,0,2,0,0,0,21,0,0,0,22,0,1,1,1,0,0,32,15,12,23,16,25,30,23,0,27,0,1,4,0,32,1,1,14,3,2,0,9,1,21,0,15,7,0,0,4,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"information",13,5,0,2,20,0,0,21,14,13,1,0,0,19,0,4,0,5,0,0,20,2,0,0,0,0,20,14,17,0,0,21,0,0,4,0,9,4,5,1,0,0,0,2,3,0,2,1,6,2,21,0,0,4,3,13,3,0,0,0,0,1,21,19,9,3,10,1,19,0,8,9,2,2,0,3,2,0,0,0,12,3,0,3,0,0,0,10,13,0,14,0,0,1,0,1,5,2,1,1,2,1,1,16,1,0,0,2,1,0,0,0,14,5,0,0,1,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,8,0,14,2,0
"graphics",7,8,1,1,17,0,15,16,13,21,20,0,4,28,0,0,1,0,0,0,14,0,1,0,0,0,10,5,14,0,0,14,0,3,3,2,11,9,16,1,0,0,0,1,5,1,0,0,10,1,6,0,1,0,1,0,0,0,0,0,2,0,9,24,2,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,10,2,0,5,8,2,11,0,4,0,0,11,6,14,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,18,0,0,2,0,1,30,16,0,0,11,0,0,4,0,0,0,0,3,12,0,0
"statistics",0,0,6,17,2,10,32,2,0,0,14,0,0,0,0,1,0,0,1,0,11,0,47,0,1,0,0,0,15,0,0,17,0,0,10,10,0,1,23,6,0,0,3,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,1,7,24,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,42,1,0,22,13,0,1,1,42,0,0,0,0,2,0,0,0,0,0,1,0,12,19,0,1
"art",0,0,0,0,0,0,0,14,9,1,1,2,29,0,2,0,14,0,0,14,0,0,0,0,0,0,8,41,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,3,13,3,1,24,1,10,6,0,0,0,0,29,9,38,15,21,0,5,0,0,0,3,0,2,30,1,0,0,1,0,4,0,0,17,0,1,4,5,1,6,0,31,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,2,0
"portfolio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,2,22,5,17,18,10,3,0,0,1,3,7,0,18,1,2,0,0,1,0,0,30,11,0,0,11,0,0,8,3,2,2,35,40,23,2,0,28,1,0,0,24,0,0,19,1,12,0,0,14,4,2,0,1,0,4,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tools",5,0,0,0,1,0,13,0,0,0,0,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,13,1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,1,0,14,3,0,0,0,1,0,0,1,0,0,0,1,0,4,0,2,11,24,0,26,22,9,35,18,12,3,3,11,19,32,10,23,0,23,19,0,0,2,0,0,0
"infographic",4,2,0,0,3,0,3,4,1,13,5,16,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,4,2,2,6,27,27,25,4,2,0,0,0,1,0,0,1,1,9,1,8,0,0,0,1,3,0,0,0,0,0,1,0,1,0,2,1,0,1,0,2,0,3,0,0,0,19,0,0,0,1,0,0,13,0,2,0,2,4,0,8,0,0,0,0,1,0,7,1,0,5,3,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,6,17,0,27,0,0,1,2,0,0,21,0,1,0,2,0,0,0,6,7,0,0
"research",1,6,0,0,0,3,1,1,0,2,0,0,0,0,0,6,0,0,4,1,0,16,6,0,2,0,1,23,1,0,0,6,0,0,0,7,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,10,0,20,0,0,0,25,0,4,0,0,31,0,0,0,47,0,0,0,0,0,0,0,0,0,0,20,2,0,1,11,0,0,1,0,0,0,0,0,1,1,0,0,0,3,9,1,0,0,0,0,0,22,24,0,0,1,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,1,0,0
"interactive",0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,8,0,2,1,0,6,13,0,4,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,26,21,3,8,1,3,0,0,41,0,0,21,0,1,0,24,19,6,15,1,1,0,1,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0
"javascript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,72,59,0,0,0,18,51,17,0,31,0,0,0,0,0,0
"agency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,37,1,11,7,2,0,2,12,0,29,0,26,2,0,22,2,5,0,6,0,16,1,24,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maps",1,1,0,1,0,0,0,2,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,2,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,40,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,43,0,0,0,0,0,0,21,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
"webdesign",0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,1,1,0,3,12,0,29,2,0,0,0,3,1,0,0,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,9,0,23,1,11,5,22,1,1,3,0,1,16,0,13,0,0,16,0,0,0,13,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
"visualisation",16,0,1,2,2,0,7,2,1,5,2,1,1,0,0,0,0,4,0,0,0,2,0,0,0,3,8,1,1,5,3,4,0,1,0,0,0,1,0,11,0,0,0,1,1,0,6,3,1,0,4,1,0,0,3,1,1,1,2,0,9,1,4,1,0,0,4,1,3,1,7,1,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,2,0,8,1,0,0,14,0,1,2,1,4,0,1,0,0,1,0,0,4,7,4,0,0,0,2,0,2,1,6,1,18,0,6,3,0,0,3,1,2,0,1,1,6,0,2,1,2,1,2,2,0,1
"technology",0,0,0,1,0,0,1,13,0,0,0,0,7,0,0,0,11,0,39,26,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,1,34,1,0,7,9,20,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,13,0,0,0,0
"software",0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,12,17,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,15,0,0,0,0,0,5,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,23,29,1,10,26,1,2,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0
"graphic",0,0,0,0,1,0,0,4,0,4,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,1,1,0,0,0,2,0,1,0,21,0,0,0,9,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,21,0,0,0,19,0,0,0,9,4,0,14,8,11,0,1,25,0,16,0,3,0,0,2,0,1,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"blogs",2,0,1,3,2,5,1,2,0,3,1,0,1,7,1,23,4,0,12,1,1,11,18,0,9,6,14,4,1,1,1,2,0,1,2,2,0,11,1,7,0,0,0,0,23,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"programming",2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,4,3,0,0,0,0,14,15,31,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,0,3,8,0,1,2,0,0,16,0,19,0,4,0,0,0,2,2,0,0,0,0,0,8,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,12,0,1,1,0,0,0,0,2,2,0,0,0,0,1,3,0,0
