"names","visualisingdata.com","graphicsociology","blog.oecdfactblog.org","datablog","datavisualization.ch","dataspora.com/blog","flowingdata.com","infosthetics.com","visualcomplexity.com/vc","visualjournalism.com","chartporn.org","visualizing.org","createdigitalmotion.com","news.designlanguage.com","xkcd.com","blog.wolframalpha.com","brainpickings.org","bang.clearscience.info","radar.oreilly.com","creativeapplications.net","informationisbeautiful.net","fellinlovewithdata.com","blogs.wsj.com/numbersguy","getprismatic.com","petewarden.typepad.com","indiemaps.com/blog","benfry.com/writing","serialconsign.com","perceptualedge","excelcharts.com/blog/posts","datajournalismblog.com","eagereyes.org","thefunctionalart.com","good.is/infographics","ilovecharts.tumblr.com","dailyinfographic.com","infographicsarchive.com","visualoop.tumblr.com","visualizingeconomics.com","spatialanalysis.co.uk","storiesthroughdata","sethssources.wordpress.com","datawrangling.com","infoisbeautifulawards","xblog","interactive-infographics.com","thewhyaxis.info","ideasillustrated.com/blog","Ben Fry","Daniel A.","David McCandless","Jer Thorp","Lisa Strausfeld","Manuel Lima","Marcos Weskamp","Moritz Stefaner","Stefanie Posavec","Santiago Ortiz","Jen Lowe","Jason Davies","Mike Bostock","Wilhelm Tulp","Martin Wattenberg","Edward Tufte","Jonathan Harris","Eric Fischer","Fernanda Viegas","Jerome Cukier","Jeff Clark","Nicolas Garcia","Gregor Aisch","Ben Shneiderman","Francesco Franchi","Christopher Warnow","Irene Ros","Lev Manovich","Nicholas Felton","Szucs Krisztina","Stephen Wolfram","Scott Murray","Matthew Ericson","Mahir M.","Jim Vallandingham","Martin Oberhaeuser","Benedikt Gro√ü","Applied Works","BERG","Bestiario","Catalogtree","Bloom","Density Design","Envis Precisely","Field","Flink Labs","InfoMotor","Interactive Things","Ito World","JESS3","Juice Analytics","Oblong Industries","Periscopic","Pitch Interactive","Potion Design","Rhiza Labs","Seed Media","Taco Labs","Vizzuality","OOM","FFunction","Plaid","Visup","Data Republic","Data Market","NYT labs","tracemedia","R","Gephi","Quadrigram","Many Eyes","Tableau Software","Plot.io","infogr.am","Google chart","Gapminder","d3","Infovis","wordle","wolfram|alpha","create.visual.ly","Polychart","Miso","envision","geocommons","timeline.verite","DataKind","Visual Complexity","Visualize this","visual display","Visualizing Data","The visual"
"datavisualization",5,1,2,2,4,1,2,1,1,0,3,2,0,3,0,0,0,0,0,0,0,9,0,0,0,0,5,0,1,2,0,5,1,0,2,0,1,1,2,4,0,0,0,2,0,0,10,0,3,2,1,1,0,0,1,4,3,0,0,0,0,8,7,0,1,3,10,1,2,1,1,0,0,0,0,3,3,1,0,1,2,1,1,1,0,0,0,2,1,3,1,0,0,5,0,2,1,1,2,0,0,1,0,0,5,0,1,0,21,0,0,0,0,0,0,0,1,0,2,3,1,3,0,0,0,0,0,0,2,1,2,0,0,0,1,0,10,1,0,0
"mapping",1,0,0,0,0,0,0,1,12,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,0,0,1,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,36,0,0,0,0,0,0,15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,1,1,0,0
"charts",1,0,0,0,1,0,2,0,1,1,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,10,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1,1,0,30,31,0,2,23,0,0,1,2,2,1,0,0,0,0,0,0,0,0
"processing",0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,10,0,0,6,0,0,1,2,0,0,0,9,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"web",0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8,0,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,1,0,15,2,0,1,0,5,2,0,0,0,8,0,4,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,5,0,11,2,11,0,0,2,0,0,3,0,2,0,0,1,2,0,1,3,5,5,0,0,0,0,0,0,1,0,1,0,3,0,0,1,2,9,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"interface",0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,3,11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,15,0,2,0,1,0,0,0,0,0,1,0,19,1,0,0,10,0,2,0,1,0,0,0,1,1,0,0,32,1,0,0,0,0,18,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"reference",0,0,0,0,15,0,0,1,0,0,6,1,0,0,0,14,0,0,7,1,0,0,6,0,0,0,0,0,4,0,0,0,0,1,0,6,1,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,10,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,11,0,0,0,14,0,0,0,0,0,0,1,0,0,8,0,0
"dataviz",1,0,0,1,1,0,1,1,2,1,1,1,0,3,0,0,0,0,0,0,1,6,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,3,0,0,0,6,0,0,4,1,1,1,1,1,0,0,1,1,0,0,0,0,0,6,3,0,0,2,5,0,3,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,2,0,0,2,0,0,0,1,2,0,1,1,0,0,0,0,1,1,3,0,0,0,2,1,0,0,1,4,3,3,0,7,1,0,0,0,2,0,0,5,21,0,0,2,1,0,2,0,0,1
"studio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,6,0,13,2,2,0,24,8,0,7,0,2,0,1,3,1,4,1,1,1,1,0,9,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"analytics",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"books",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,27,13,15
"science",0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,29,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"news",0,0,0,12,0,0,0,0,0,11,0,0,1,0,1,0,1,0,30,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"graph",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,13,1,28,29,0,0,0,2,0,0,0,0,0,1,0,1,1,0
"culture",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flash",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,19,0,0,4,0,0,0,0,0,0,12,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"interaction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,7,0,4,5,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,9,0,33,1,0,0,0,1,1,0,0,2,1,0,0,22,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"opensource",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,1,0,0,0,0,32,3,1,12,0,0,0,0,0,0
"web2.0",0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,0,0
"analysis",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,6,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"journalism",0,0,0,23,1,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"typography",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,2,6,0,0,26,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"gis",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0
"library",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,17,0,0,0,1,20,8,0,1,0,0,0,0,0,1
"people",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,4,0,0,0,3,4,0,3,1,3,0,21,3,0,0,0,25,0,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"media",0,0,0,2,0,0,1,1,0,3,0,1,2,0,1,0,0,0,2,0,0,0,2,2,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
